Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Multifunctional Lipid Multilayer Stamping,"['Nafday, Omkar A.', 'Lowry, Troy W.', 'Lenhert, Steven']",SMALL,8,7,APR 10 2012,lenhert@bio.fsu.edu,"Florida State Univ, Dept Biol Sci, B-157, Tallahassee, FL 32306 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['lipids', 'photonics', 'microarrays', 'dip-pen nanolithography', 'microcontact printing']","['DIP-PEN NANOLITHOGRAPHY', 'SOFT LITHOGRAPHY', 'SIGNAL-TRANSDUCTION', 'REFLECTIN PROTEIN', 'CELL BIOLOGY', 'ARRAYS', 'POLYELECTROLYTE', 'CHOLESTEROL', 'RESOLUTION', 'STABILITY']","[['state of Florida', '']]"
Nanotube-Bridged Wires with Sub-10 nm Gaps,"['Lee, Byung Yang', 'Heo, Kwang', 'Schmucker, Abrin L.', 'Jin, Hye Jun', 'Lim, Jong Kuk', 'Kim, Taekyeong', 'Lee, Haemi', 'Jeon, Ki-Seok', 'Suh, Yung Doug', 'Mirkin, Chad A.', 'Hong, Seunghun']",NANO LETTERS,12,4,Apr-12,chadnano@northwestern.edu; seunghun@snu.ac.kr,"Seoul Natl Univ, Dept Biophys & Chem Biol, WCU Program, Seoul 151747, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Carbon nanotube', 'nanowire', 'transducer', 'on-wire lithography', 'template-directed synthesis']","['ENHANCED RAMAN-SCATTERING', 'FIELD-EFFECT TRANSISTORS', 'TRANSPORT JUNCTIONS', 'NANOPARTICLE PROBES', 'CARBON NANOTUBES', 'NANODISK CODES', 'LITHOGRAPHY', 'DEVICES', 'NANOWIRES', 'SILVER']","[['MEST', '2011-00240\xa0\n20110020984'], ['National Research Foundation', '2011-0000390'], ['Converging Research Center', '2011K000683'], ['Asian Office of Aerospace Research and Development (AOARD)', ''], ['Electrochemical Society', '']]"
Low-cost shrink lithography with sub-22nm resolution,"['Zhang, Bo', 'Zhang, Min', 'Cui, Tianhong']",APPLIED PHYSICS LETTERS,100,13,MAR 26 2012,tcui@me.umn.edu,"Univ Minnesota, Dept Mech Engn, 111 Church St SE, Minneapolis, MN 55455 USA.",['Physics'],[],"['FIELD-EFFECT TRANSISTORS', 'GRAPHENE', 'FILMS']",[]
Scanning probe-enabled nanocombinatorics define the relationship between fibronectin feature size and stem cell fate,"['Giam, Louise R.', 'Massich, Matthew D.', 'Hao, Liangliang', 'Wong, Lu Shin', 'Mader, Christopher C.', 'Mirkin, Chad A.']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,109,12,MAR 20 2012,chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Science & Technology - Other Topics'],"['nanopatterning', 'polymer pen lithography', 'focal adhesions', 'osteogenesis', 'stem cell differentiation']","['POLYMER-PEN LITHOGRAPHY', 'FOCAL ADHESION KINASE', 'OSTEOBLAST DIFFERENTIATION', 'OSTEOGENIC DIFFERENTIATION', 'FORCE', 'RUNX2', 'STABILIZATION', 'BIOMATERIALS', 'ARRAYS', 'SHAPE']","[['Air Force Office of Scientific Research (AFOSR)', 'FA9550-08-1-0124'], ['SPAWAR Systems Center', '22550\xa0\nN66001-08-1-2044'], ['National Cancer Institute', 'U54CA151880'], ['National Science Foundation (NSF) Nanoscale Science and Engineering Initiative', 'EEC-0647560'], ['Defense Advanced Research Projects Agency (DARPA)', ''], ['Engineering and Physical Sciences Research Council (EPSRC)', 'EP/F042590/1']]"
Polymer Nanostructures Made by Scanning Probe Lithography: Recent Progress in Material Applications,"['Xie, Zhuang', 'Zhou, Xuechang', 'Tao, Xiaoming', 'Zheng, Zijian']",MACROMOLECULAR RAPID COMMUNICATIONS,33,5,MAR 16 2012,tczzheng@inet.polyu.edu.hk,"Hong Kong Polytech Univ, Nanotechnol Ctr 1, Inst Text & Clothing, Hong Kong, Hong Kong, Peoples R China.",['Polymer Science'],"['electronically active polymers', 'nanotechnology', 'polymer brushes', 'surface patterning', 'scanning probe lithography', '(SPL)']","['DIP-PEN NANOLITHOGRAPHY', 'FIELD OPTICAL LITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'OPENING METATHESIS POLYMERIZATION', 'SELF-ASSEMBLED MONOLAYERS', 'DATA-STORAGE', 'ELECTROSTATIC NANOLITHOGRAPHY', 'POLYELECTROLYTE BRUSHES', 'ELECTROLESS DEPOSITION', 'PATTERNING SURFACES']","[['Hong Kong Polytechnic University', '1-ZV5Z\xa0\nA-PK09\xa0\nA-PK21'], ['Research Grant Council of Hong Kong', 'PolyU 5041/11P']]"
"Positionally Defined, Binary Semiconductor Nanoparticles Synthesized by Scanning Probe Block Copolymer Lithography","['Giam, Louise R.', 'He, Shu', 'Horwitz, Noah E.', 'Eichelsdoerfer, Daniel J.', 'Chai, Jinan', 'Zheng, Zijian', 'Kim, Dongwoo', 'Shim, Wooyoung', 'Mirkin, Chad A.']",NANO LETTERS,12,2,Feb-12,chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Scanning probe', 'lithography', 'block copolymer', 'semiconductor', 'cadmium sulfide nanoparticles']","['DIP-PEN NANOLITHOGRAPHY', 'QUANTUM DOTS', 'PHOTOLUMINESCENCE', 'NANOSTRUCTURES', 'NANOCRYSTAL', 'INK', 'SUPERLATTICES', 'MICROSCOPY', 'ARRAYS', 'FILMS']","[['AFOSR', 'FA9550-08-1-0124'], ['DARPA (Space and Naval Warfare Systems Center (SSC)', 'N66001-08-1-2044'], ['DOE through the NU Nonequilibrium Energy Research Center', ''], ['NSF Nanoscale Science and Engineering Initiative', 'EEC-0647560\xa0\nEEC-0755375']]"
Study of process parameters and formative mechanism of patterns on a dip-pen nanolithography array using molecular dynamics simulations,"['Wu, Cheng-Da', 'Fang, Te-Hua', 'Wu, Tsung-Tse']",POLYMER,53,3,Feb-12,fang.tehua@msa.hinet.net,"Natl Kaohsiung Univ Appl Sci, Dept Mech Engn, Kaohsiung 807, Taiwan.",['Polymer Science'],"['Dip-pen nanolithography', 'SAM', 'Array']","['SELF-ASSEMBLED MONOLAYERS', 'TRANSPORT', 'TIP', 'NANOSTRUCTURES', 'LITHOGRAPHY', 'SURFACES', 'FEATURES']","[['National Science Council of Taiwan', 'NSC-100-2628-E-151-003-MY3\xa0\nNSC-100-2221-E-151-018-MY3']]"
Nanobiochips,"['Valiokas, Ramunas']",CELLULAR AND MOLECULAR LIFE SCIENCES,69,3,Feb-12,valiokas@ftmc.lt,"Ctr Phys Sci & Technol, Dept Nanoengn, Savanoriu 231, LT-02300 Vilnius, Lithuania.","['Biochemistry & Molecular Biology', 'Cell Biology']","['Nanobiotechnology', 'Biochips', 'Protein nanoarrays', 'Protein complexes', 'Nanolithography']","['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'SIZED PROTEIN-PATTERNS', 'HIS-TAGGED PROTEINS', 'CHEMICAL LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'OXIDE SURFACES', 'NANOIMPRINT LITHOGRAPHY', 'SUPPORTED MEMBRANES', 'CHIP TECHNOLOGIES']","[['Research Council of Lithuania', 'MIP-098/2011']]"
Nanoreactors for Studying Single Nanoparticle Coarsening,"['Chai, Jinan', 'Liao, Xing', 'Giam, Louise R.', 'Mirkin, Chad A.']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,134,1,JAN 11 2012,chadnano@northwestem.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Chemistry'],[],"['DIP-PEN NANOLITHOGRAPHY', 'GOLD NANOPARTICLES', 'SILVER NANOPARTICLES', 'LITHOGRAPHY', 'COALESCENCE', 'NANOCRYSTAL', 'GROWTH', 'FORCE']","[['U.S. Air Force Office of Scientific Research (AFOSR)', ''], ['Defense Advanced Research Projects Agency (DARPA)', ''], ['NSF (NSEC)', ''], ['Natural Sciences and Engineering Research Council of Canada (NSERC)', ''], ['ARCS', '']]"
Self-Healing Polymer Films Based on Thiol-Disulfide Exchange Reactions and Self-Healing Kinetics Measured Using Atomic Force Microscopy,"['Yoon, Jeong Ae', 'Kamada, Jun', 'Koynov, Kaloian', 'Mohin, Jake', 'Nicolay, Renaud', 'Zhang, Yaozhong', 'Balazs, Anna C.', 'Kowalewski, Tomasz', 'Matyjaszewski, Krzysztof']",MACROMOLECULES,45,1,JAN 10 2012,UNDEFINED,"Carnegie Mellon Univ, Dept Chem, 4400 5th Ave, Pittsburgh, PA 15213 USA.",['Polymer Science'],[],"['LIVING RADICAL POLYMERIZATION', 'DIP-PEN NANOLITHOGRAPHY', 'ASSEMBLED MONOLAYERS', 'SURFACES', 'NANOFABRICATION', 'LITHOGRAPHY', 'REDUCTION', 'AU(111)', 'ARCHITECTURES', 'CHEMISTRY']","[['CRP Consortium in Carnegie Mellon University', ''], ['Mitsui Chemicals, Inc.', ''], ['DoE', 'ER45998']]"
CONTROLLED KINETIC MONTE CARLO SIMULATION OF NANOMANUFACTURING PROCESSES,"['Wang, Yan']","PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2011, VOL 2, PTS A AND B",UNDEFINED,UNDEFINED,2012,UNDEFINED,"Georgia Inst Technol, George W Woodruff Sch Mech Engn, Atlanta, GA 30332 USA.","['Computer Science', 'Engineering']",[],"['CHEMICAL-VAPOR-DEPOSITION', 'MOLECULAR-DYNAMICS SIMULATION', 'BEAM-INDUCED DEPOSITION', 'INFREQUENT EVENTS', 'NANOIMPRINT LITHOGRAPHY', 'CARBON NANOTUBES', 'ATOMIC-SCALE', 'GROWTH', 'MICROSCOPY', 'DIAMOND']",[]
Functional Nanoparticle-Based Bioelectronic Devices,"['Hepel, Tadeusz']","FUNCTIONAL NANOPARTICLES FOR BIOANALYSIS, NANOMEDICINE, AND BIOELECTRONIC DEVICES, VOL 2",1113,UNDEFINED,2012,elchema@verizon.net,"Inst Nanotechnol, Potsdam, NY 13676 USA.","['Chemistry', 'Engineering', 'Science & Technology - Other Topics']","['Au nanoparticles (AuNP)', 'carbon nanotubes (CNT)', 'enzyme biosensors', 'immunosensors', 'molecularly imprinted sensors', 'implantable biosensors', 'logic gates', 'BioFET']","['DIP-PEN NANOLITHOGRAPHY', 'SURFACE-PLASMON RESONANCE', 'SELF-ASSEMBLED MONOLAYERS', 'WALLED CARBON NANOTUBES', 'IN-VIVO MEASUREMENTS', 'SILVER NANOPARTICLES', 'GOLD NANOPARTICLE', 'GLUCOSE-OXIDASE', 'ELECTRON-TRANSFER', 'ELECTROCHEMICAL IMMUNOASSAY']",[]
Nanobionics: the impact of nanotechnology on implantable medical bionic devices,"['Wallace, G. G.', 'Higgins, M. J.', 'Moulton, S. E.', 'Wang, C.']",NANOSCALE,4,15,2012,UNDEFINED,"Univ Wollongong, Intelligent Polymer Res Inst, AIIM Facil, ARC Ctr Excellence Electromat Sci ACES, Innovat Campus, Wollongong, NSW 2522, Australia.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'VAGUS NERVE-STIMULATION', 'WALLED CARBON NANOTUBES', 'LAYER-BY-LAYER', 'IRIDIUM OXIDE-FILMS', 'ELECTRICALLY CONDUCTING POLYMER', 'EXFOLIATED GRAPHITE OXIDE', 'CHEMICAL-VAPOR-DEPOSITION', 'MESOPOROUS PLATINUM FILMS', 'LIQUID-PHASE EXFOLIATION']","[['Australian Research Council', ''], ['National Health and Medical Research Council', '']]"
Direct-write maskless lithography of LBL nanocomposite films and its prospects for MEMS technologies,"['Bai, Yongxiao', 'Ho, Szushen', 'Kotov, Nicholas A.']",NANOSCALE,4,15,2012,kotov@umich.edu,"Univ Michigan, Dept Chem Engn, Ann Arbor, MI 48109 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'NANOPARTICLE THIN-FILMS', 'CARBON NANOTUBES', 'GOLD NANOPARTICLES', 'POLYELECTROLYTE MULTILAYERS', 'NANOIMPRINT LITHOGRAPHY', 'PRINTED ELECTRONICS', 'POLYMER', 'DEPOSITION', 'COMPOSITES']","[['China Scholarship Council', ''], ['Fundamental Research Funds for the Central Universities', 'LZUjbky-2010-78'], ['AFOSR', 'FA9550-08-1-0382\xa0\nGRT00008581/RF60012388'], ['MURI', '444286-P061716'], ['NSF', 'ECS-0601345\xa0\nDMR-9871177'], ['National Institutes of Health', 'NIH 1R21CA121841-01A2'], ['Center for Solar and Thermal Energy Conversion, an Energy Frontier Research Center', ''], ['U.S. Department of Energy, Office of Science, Office of Basic Energy Sciences', 'DE-SC0000957'], ['EFRI-BSBA', '0938019'], ['CBET', '0933384\xa0\n0932823']]"
Electrospinning versus fibre production methods: from specifics to technological convergence,"['Luo, C. J.', 'Stoyanov, Simeon D.', 'Stride, E.', 'Pelan, E.', 'Edirisinghe, M.']",CHEMICAL SOCIETY REVIEWS,41,13,2012,chaojie.luo@ucl.ac.uk,"UCL, Dept Mech Engn, Torrington Pl, London WC1E 7JE, England.",['Chemistry'],[],"['MELT-BLOWING PROCESS', 'UNIAXIALLY ALIGNED ARRAYS', 'ELECTRICALLY FORCED JETS', 'POLYMER NANOFIBERS', 'BACTERIAL CELLULOSE', 'SPIDER SILK', 'CARBON NANOTUBES', 'POLY(ETHYLENE-CO-VINYL ALCOHOL)', 'MECHANICAL-PROPERTIES', 'BENDING INSTABILITY']","[['EPSRC', ''], ['UCL', '']]"
Matrix-assisted polymer pen lithography induced Staudinger Ligation,"['Bian, Shudan;', 'Schesing, Kevin B.;', 'Braunschweig, Adam B.']",CHEMICAL COMMUNICATIONS,48,41,2012,adamb@nyu.edu,"NYU, Dept Chem, 100 Washington Sq E,Room 1001, New York, NY 10003 USA.",['Chemistry'],[],"['HETEROGENEOUS CATALYSIS', 'CLICK CHEMISTRY', 'NANOLITHOGRAPHY', 'ARRAYS', 'FUNCTIONALITY', 'FEATURES', 'FORCE', 'STAMP', 'GOLD', 'SIZE']","[['Air Force Office', 'FA9550-11-1-0032']]"
Light-directed nanosynthesis: near-field optical approaches to integration of the top-down and bottom-up fabrication paradigms,"['Leggett, Graham J.']",NANOSCALE,4,6,2012,Graham.Leggett@sheffield.ac.uk,"Univ Sheffield, Dept Chem, Brook Hill, Sheffield S3 7HF, S Yorkshire, England.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['SELF-ASSEMBLED MONOLAYERS', 'DIP-PEN NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'TRANSFER RADICAL POLYMERIZATION', 'PROTEIN NANOSTRUCTURES', 'PROTECTING GROUPS', 'GOLD SURFACES', 'CONSTRUCTIVE NANOLITHOGRAPHY', 'OLIGO(ETHYLENE GLYCOL)', 'MOLECULAR ASSEMBLIES']","[['EPSRC', 'GR/N05390\xa0\nGR/N82197/01\xa0\nEP/050271/1\xa0\nEP/I012060/1'], ['RCUK', 'EP/C523857/1']]"
Fabrication of ultra-fine nanostructures using edge transfer printing,"['Xue, Mianqi', 'Li, Fengwang', 'Cao, Tingbing']",NANOSCALE,4,6,2012,tcao@chem.ruc.edu.cn,"Renmin Univ China, Dept Chem, Beijing 100872, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['SELF-ASSEMBLED MONOLAYERS', 'DIP-PEN NANOLITHOGRAPHY', 'SOFT LITHOGRAPHY', 'NANOMETER-SCALE', 'METALLIC NANOSTRUCTURES', 'STAMP DEFORMATION', 'BUILDING-BLOCKS', 'MULTIPLE TYPES', 'THIN-FILMS', 'ARRAYS']","[['Natural Science Foundation of China', '20733001\xa0\n91027029'], ['Beijing National Laboratory for Molecular Sciences (BNLMS)', '']]"
Dip-pen nanolithography of optically transparent cationic polymers to manipulate spatial organization of proteolipid membranes,"['Narui, Yoshie', 'Salaita, Khalid S.']",CHEMICAL SCIENCE,3,3,2012,k.salaita@emory.edu,"Emory Univ, Dept Chem, 1515 Dickey Dr, Atlanta, GA 30322 USA.",['Chemistry'],[],"['ATOMIC-FORCE MICROSCOPY', 'SUPPORTED LIPID-MEMBRANES', 'PHOSPHOLIPID-BILAYERS', 'LITHOGRAPHY', 'ARRAYS', 'EGF', 'SEGREGATION', 'DIFFUSION', 'TRANSPORT', 'SYNAPSES']","[['ORNL', 'CNMS2009-269'], ['Emory Winship Cancer Institute', ''], ['Georgia Cancer Coalition', '']]"
Cost-effective fabrication of memristive devices with ZnO thin film using printed electronics technologies,"['Choi, Kyung Hyun', 'Mustafa, Maria', 'Rahman, Khalid', 'Jeong, Bum Ko', 'Doh, Yang Hui']",APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,106,1,Jan-12,amm@jejunu.ac.kr; yhdoh@jejunu.ac.kr,"Jeju Natl Univ, Sch Mechatron Engn, 66 Jejudaehakno, Cheju 690756, South Korea.","['Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'LITHOGRAPHY', 'MECHANISM', 'NM']","[['National Research Foundation of Korea (NRF)', ''], ['Ministry of Education, Science and Technology', '2010-0026163']]"
A methodology for preparing nanostructured biomolecular interfaces with high enzymatic activity,"['Wong, Lu Shin', 'Karthikeyan, Chinnan V.', 'Eichelsdoerfer, Daniel J.', 'Micklefield, Jason', 'Mirkin, Chad A.']",NANOSCALE,4,2,2012,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN-NANOLITHOGRAPHY', 'PROTEIN NANOARRAYS', 'OXIDE SURFACES', 'LITHOGRAPHY', 'IMMOBILIZATION', 'FABRICATION', 'TEMPLATES', 'DNA', 'OLIGONUCLEOTIDES', 'ARRAYS']","[['AOARD', 'FA2386-10-1-4065'], ['AFOSR', 'FA9550-08-1-0124'], ['DARPA', ''], ['DoD', ''], ['EPSRC', 'EP/F042590/1'], ['Ministry of Social Justice and Empowerment, Government of India', '']]"
Scanning Probe Lithography,"['Nafday, Omkar A.']",NANOFABRICATION HANDBOOK,UNDEFINED,UNDEFINED,2012,UNDEFINED,"Florida State Univ, Dept Biol Sci, B-157, Tallahassee, FL 32306 USA.","['Science & Technology - Other Topics', 'Materials Science']",[],"['DIP-PEN-NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'SELF-ASSEMBLED MONOLAYERS', 'SILICON MICROCANTILEVER HEATERS', 'ORGANIZED MOLECULAR ASSEMBLIES', 'OXIDIZED ALUMINUM SURFACE', 'NORMAL-ALKANOIC ACIDS', 'TUNNELING MICROSCOPE', 'STM LITHOGRAPHY', 'DATA-STORAGE']",[]
Peptide-Based Probes and Biosensor Technology in Medical Microbiological Diagnosis and Research,"['Hwang, G. M.', 'Korves, T. M.', 'Renda, P. F.', 'Suh, S. -J.']",ROLE OF NEW TECHNOLOGIES IN MEDICAL MICROBIOLOGICAL RESEARCH AND DIAGNOSIS,UNDEFINED,UNDEFINED,2012,gmhwang@mitre.org,"Mitre Corp, 7515 Colshire Dr, Mclean, VA 22102 USA.","['Medical Laboratory Technology', 'Microbiology']","['Petide-Based Probes', 'Biosensors', 'ELISA', 'Flow Cytometry', 'Luminex', 'Phage Display', 'Mass Perturbance Biosensors', 'Electrical Perturbance Biosensors', 'Optical Biosensors', 'Limit Of Detection']","['SURFACE-PLASMON RESONANCE', 'SINGLE-DOMAIN ANTIBODIES', 'BACILLUS-ANTHRACIS SPORES', 'INFLUENZA-A H1N1', 'ADDRESSABLE POTENTIOMETRIC SENSOR', 'MILLIMETER-SIZED CANTILEVER', 'BIOLOGICAL THREAT AGENTS', 'ESCHERICHIA-COLI O157-H7', 'REAL-TIME PCR', 'HUMAN MONOCLONAL-ANTIBODIES']",[]
Nanolithography with Intrusive AFM Tip,"['Tsukruk, Vladimir V.', 'Singamaneni, Srikanth', 'Tsukruk, VV;', 'Singamaneni, S']",SCANNING PROBE MICROSCOPY OF SOFT MATTER: FUNDAMENTALS AND PRACTICES,UNDEFINED,UNDEFINED,2012,UNDEFINED,"Washington Univ, St Louis, MO 63130 USA.","['Materials Science', 'Microscopy']",[],"['ATOMIC-FORCE MICROSCOPY', 'SELF-ASSEMBLED MONOLAYERS', 'SCANNING-TUNNELING-MICROSCOPY', 'DYNAMIC PLOWING LITHOGRAPHY', 'NANOMETER-SCALE', 'DATA-STORAGE', 'LANGMUIR-BLODGETT', 'CARBON NANOTUBES', 'ELECTROSTATIC NANOLITHOGRAPHY', 'PROBE LITHOGRAPHY']",[]
Dip-Pen Nanolithography,"['Tsukruk, Vladimir V.', 'Singamaneni, Srikanth', 'Tsukruk, VV;', 'Singamaneni, S']",SCANNING PROBE MICROSCOPY OF SOFT MATTER: FUNDAMENTALS AND PRACTICES,UNDEFINED,UNDEFINED,2012,UNDEFINED,"Washington Univ, St Louis, MO 63130 USA.","['Materials Science', 'Microscopy']",[],"['SILICON SURFACES', 'THIN-FILMS', 'PROBE TIP', 'INK', 'NANOSTRUCTURES', 'PARALLEL', 'LITHOGRAPHY', 'FABRICATION', 'DEPOSITION', 'TRANSPORT']",[]
Single-molecule protein arrays enabled by scanning probe block copolymer lithography,"['Chai, Jinan', 'Wong, Lu Shin', 'Giam, Louise', 'Mirkin, Chad A.']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,108,49,DEC 6 2011,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Science & Technology - Other Topics'],"['dip-pen nanolithography', 'scanning probe lithography', 'single molecule array', 'gold nanoparticles', 'protein nanoarray']","['DIP-PEN NANOLITHOGRAPHY', 'RECOMBINANT PROTEINS', 'NANOARRAYS', 'AUTOMETALLOGRAPHY', 'IMMOBILIZATION', 'PURIFICATION', 'ANTIBODIES', 'NANOGOLD', 'FORCE']","[['US Air Force Office of Scientific Research', ''], ['Defense Advanced Research Projects Agency', ''], ['National Institutes of Health (Center of Cancer Nanotechnology Excellence)', ''], ['Department of Defense', ''], ['Natural Sciences and Engineering Research Council of Canada', ''], ['Engineering and Physical Sciences Research Council', 'EP/F042590/1']]"
Direct UV Patterning of Electronically Active Fullerene Films,"['Wang, Jia', 'Larsen, Christian', 'Wagberg, Thomas', 'Edman, Ludvig']",ADVANCED FUNCTIONAL MATERIALS,21,19,OCT 7 2011,ludvig.edman@physics.umu.se,"Umea Univ, Dept Phys, Organ Photon & Elect Grp, SE-90187 Umea, Sweden.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['WRITE MULTIPHOTON PHOTOLITHOGRAPHY', 'PRESSURE-POLYMERIZED C-60', 'LINE-EDGE ROUGHNESS', 'ORGANIC ELECTRONICS', 'SOLAR-CELLS', 'BEAM RESIST', 'THIN-FILMS', 'TRANSISTORS', 'FABRICATION', 'DEVICES']","[['Kempestiftelserna', ''], ['Carl Tryggers Stiftelse', ''], ['Swedish Research Council (Vetenskapsradet)', ''], ['Knut and Alice Wallenberg Foundation', '']]"
The Effects of Temperature and Scan Velocity on Direct-write Dip-pen Nanolithography Using Molecular Dynamics Simulation,"['Wu, Cheng-Da', 'Fang, Te-Hua', 'Huang, Yan-Jiun']",CURRENT NANOSCIENCE,7,5,Oct-11,fang.tehua@msa.hinet.net,"Natl Kaohsiung Univ Appl Sci, Dept Mech Engn, Kaohsiung 807, Taiwan.","['Biotechnology & Applied Microbiology', 'Science & Technology - Other Topics', 'Materials Science']","['Thermal dip-pen nanolithography', 'DPN', 'temperature', 'velocity', 'nanowire']","['SELF-ASSEMBLED MONOLAYERS', 'SLIDING FRICTION', 'FORCE MICROSCOPE', 'ATOMIC-SCALE', 'TIP', 'SURFACE', 'NANOINDENTATION', 'LITHOGRAPHY', 'FABRICATION', 'DEPOSITION']","[['National Science Council of Taiwan', 'NSC-97-2221-E-151-059-MY3\xa0\n099-2811-E-151-002']]"
Surface modification and chemical surface analysis of biomaterials,"['Kingshott, Peter', 'Andersson, Gunther', 'McArthur, Sally L.', 'Griesser, Hans J.']",CURRENT OPINION IN CHEMICAL BIOLOGY,15,5,Oct-11,hans.griesser@unisa.edu.au,"Univ S Australia, Ian Wark Res Inst, Mawson Lakes, SA 5095, Australia.","['Biochemistry & Molecular Biology', 'Biophysics']",[],"['RAY PHOTOELECTRON-SPECTROSCOPY', 'INDUCED ELECTRON-SPECTROSCOPY', 'ION MASS-SPECTROMETRY', 'STEM-CELL FATE', 'SOLID WATER', 'PEN LITHOGRAPHY', 'HIGH-THROUGHPUT', 'THIN-FILMS', 'NANOPATTERNS', 'RESOLUTION']",[]
Simulation of deposition of ink molecules on rough substrates in dip-pen nanolithography,"['Wu, Cheng-Da', 'Fang, Te-Hua']",MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,19,6,Sep-11,fang.tehua@msa.hinet.net,"Natl Kaohsiung Univ Appl Sci, Dept Mech Engn, Kaohsiung 817, Taiwan.","['Materials Science', 'Physics']",[],"['SELF-ASSEMBLED MONOLAYER', 'SLIDING FRICTION', 'DYNAMICS', 'LITHOGRAPHY', 'MECHANISM']","[['National Science Council of Taiwan', 'NSC 97-2221-E-151-059\xa0\nNSC 099-2811-E-151-002']]"
Effect of chain length of self-assembled monolayers in dip-pen nanolithography using molecular dynamics simulations,"['Wu, Cheng-Da', 'Fang, Te-Hua', 'Lin, Jen-Fin']",JOURNAL OF COLLOID AND INTERFACE SCIENCE,361,1,SEP 1 2011,fang.tehua@msa.hinet.net,"Natl Kaohsiung Univ Appl Sci, Dept Mech Engn, Kaohsiung 807, Taiwan.",['Chemistry'],"['Dip-pen nanolithography', 'SAM', 'Chain length', 'Meniscus', 'Molecular dynamics']","['TIP', 'TRANSPORT', 'LITHOGRAPHY', 'FEATURES', 'FORCE', 'SIZE']","[['National Science Council of Taiwan', 'NSC 97-2221-E-151-059-MY3\xa0\nNSC 099-2811-E-151-002']]"
